shipment_id;date_id;route_id;vehicle_id;product_id;customer_id;sortinghub_id;incident_id;planned_departure_time;actual_departure_time;planned_arrival_time;actual_arrival_time;delivery_status;distance_travelled;fuel_cost;total_cost;delay_duration;total_time_in_transit;total_distance
S0026;D20250427;4;V04;P003;C001;SH04;I05;2025-04-27 06:00;2025-04-27 06:19;2025-04-27 10:00;2025-04-27 09:55;Tepat Waktu;138;366294;703672;0 menit;3 jam 36 menit;138
S0027;D20250417;1;V02;P005;C003;SH03;I04;2025-04-17 06:00;2025-04-17 06:13;2025-04-17 09:00;2025-04-17 10:29;Terlambat;118;212748;605950;89 menit;4 jam 16 menit;118
S0028;D20250430;4;V01;P003;C001;SH02;I01;2025-04-30 06:00;2025-04-30 06:24;2025-04-30 09:00;2025-04-30 09:26;Terlambat;239;286957;519869;26 menit;3 jam 2 menit;239
S0029;D20250408;3;V02;P003;C001;SH02;I01;2025-04-08 06:00;2025-04-08 06:12;2025-04-08 10:00;2025-04-08 10:30;Terlambat;208;427468;729118;30 menit;4 jam 18 menit;208
S0030;D20250406;5;V04;P005;C004;SH02;I01;2025-04-06 06:00;2025-04-06 06:22;2025-04-06 10:00;2025-04-06 10:05;Tepat Waktu;151;240845;592152;5 menit;3 jam 43 menit;151
S0031;D20250407;2;V03;P004;C005;SH01;I05;2025-04-07 06:00;2025-04-07 06:12;2025-04-07 09:00;2025-04-07 09:19;Terlambat;375;240679;525882;19 menit;3 jam 7 menit;375
S0032;D20250420;4;V04;P001;C003;SH01;I04;2025-04-20 06:00;2025-04-20 06:10;2025-04-20 10:00;2025-04-20 10:19;Terlambat;385;505607;732039;19 menit;4 jam 9 menit;385
S0033;D20250419;5;V01;P004;C002;SH04;I05;2025-04-19 06:00;2025-04-19 06:05;2025-04-19 11:00;2025-04-19 11:19;Terlambat;278;227319;425996;19 menit;5 jam 14 menit;278
S0034;D20250420;1;V03;P003;C003;SH04;I03;2025-04-20 06:00;2025-04-20 06:07;2025-04-20 12:00;2025-04-20 13:20;Terlambat;146;296563;542432;80 menit;7 jam 13 menit;146
S0035;D20250409;4;V05;P001;C001;SH04;I02;2025-04-09 06:00;2025-04-09 06:26;2025-04-09 11:00;2025-04-09 11:52;Terlambat;233;405179;708851;52 menit;5 jam 26 menit;233
S0036;D20250418;1;V02;P001;C005;SH01;I05;2025-04-18 06:00;2025-04-18 06:13;2025-04-18 09:00;2025-04-18 10:30;Terlambat;386;406500;712948;90 menit;4 jam 17 menit;386
S0037;D20250401;3;V04;P002;C004;SH03;I05;2025-04-01 06:00;2025-04-01 06:08;2025-04-01 10:00;2025-04-01 09:56;Tepat Waktu;220;294469;553761;0 menit;3 jam 48 menit;220
S0038;D20250420;4;V05;P001;C003;SH04;I03;2025-04-20 06:00;2025-04-20 06:30;2025-04-20 12:00;2025-04-20 12:21;Terlambat;140;538955;710376;21 menit;5 jam 51 menit;140
S0039;D20250413;4;V05;P001;C001;SH01;I02;2025-04-13 06:00;2025-04-13 06:30;2025-04-13 09:00;2025-04-13 10:19;Terlambat;96;387858;571479;79 menit;3 jam 49 menit;96
S0040;D20250416;1;V05;P004;C002;SH04;I02;2025-04-16 06:00;2025-04-16 06:22;2025-04-16 10:00;2025-04-16 11:02;Terlambat;152;474848;706546;62 menit;4 jam 40 menit;152
S0041;D20250425;4;V01;P001;C004;SH04;I04;2025-04-25 06:00;2025-04-25 06:28;2025-04-25 11:00;2025-04-25 10:54;Tepat Waktu;269;548366;710001;0 menit;4 jam 26 menit;269
S0042;D20250407;4;V01;P004;C005;SH02;I01;2025-04-07 06:00;2025-04-07 06:14;2025-04-07 11:00;2025-04-07 11:00;Tepat Waktu;371;588498;917158;0 menit;4 jam 46 menit;371
S0043;D20250416;3;V03;P001;C005;SH04;I01;2025-04-16 06:00;2025-04-16 06:19;2025-04-16 09:00;2025-04-16 10:14;Terlambat;343;253772;598076;74 menit;3 jam 55 menit;343
S0044;D20250423;5;V01;P003;C004;SH02;I05;2025-04-23 06:00;2025-04-23 06:15;2025-04-23 12:00;2025-04-23 13:20;Terlambat;225;465606;799624;80 menit;7 jam 5 menit;225
S0045;D20250422;2;V05;P002;C002;SH02;I03;2025-04-22 06:00;2025-04-22 06:13;2025-04-22 09:00;2025-04-22 09:34;Terlambat;287;314601;502934;34 menit;3 jam 21 menit;287
S0046;D20250413;5;V03;P004;C005;SH04;I02;2025-04-13 06:00;2025-04-13 06:10;2025-04-13 12:00;2025-04-13 11:52;Tepat Waktu;400;207251;521673;0 menit;5 jam 42 menit;400
S0047;D20250426;2;V01;P005;C001;SH02;I02;2025-04-26 06:00;2025-04-26 06:00;2025-04-26 10:00;2025-04-26 09:45;Tepat Waktu;127;381382;502148;0 menit;3 jam 45 menit;127
S0048;D20250410;2;V02;P001;C001;SH02;I02;2025-04-10 06:00;2025-04-10 06:10;2025-04-10 12:00;2025-04-10 12:19;Terlambat;175;315133;672397;19 menit;6 jam 9 menit;175
S0049;D20250409;1;V04;P002;C002;SH01;I03;2025-04-09 06:00;2025-04-09 06:19;2025-04-09 12:00;2025-04-09 13:28;Terlambat;398;584962;831133;88 menit;7 jam 9 menit;398
S0050;D20250427;2;V05;P002;C002;SH03;I02;2025-04-27 06:00;2025-04-27 06:00;2025-04-27 09:00;2025-04-27 09:32;Terlambat;167;374398;738492;32 menit;3 jam 32 menit;167
S0051;D20250429;2;V03;P003;C004;SH02;I05;2025-04-29 06:00;2025-04-29 06:28;2025-04-29 11:00;2025-04-29 11:41;Terlambat;359;468431;755836;41 menit;5 jam 13 menit;359
S0052;D20250420;4;V01;P004;C001;SH04;I01;2025-04-20 06:00;2025-04-20 06:02;2025-04-20 10:00;2025-04-20 10:55;Terlambat;227;411764;729451;55 menit;4 jam 53 menit;227
S0053;D20250413;1;V02;P004;C001;SH01;I02;2025-04-13 06:00;2025-04-13 06:24;2025-04-13 09:00;2025-04-13 10:07;Terlambat;121;481803;848096;67 menit;3 jam 43 menit;121
S0054;D20250411;3;V04;P001;C004;SH02;I03;2025-04-11 06:00;2025-04-11 06:30;2025-04-11 12:00;2025-04-11 12:34;Terlambat;173;363159;572259;34 menit;6 jam 4 menit;173
S0055;D20250411;5;V02;P003;C004;SH04;I02;2025-04-11 06:00;2025-04-11 06:24;2025-04-11 10:00;2025-04-11 11:21;Terlambat;219;549226;714170;81 menit;4 jam 57 menit;219
S0056;D20250404;2;V05;P001;C001;SH02;I04;2025-04-04 06:00;2025-04-04 06:30;2025-04-04 09:00;2025-04-04 09:46;Terlambat;140;276900;379044;46 menit;3 jam 16 menit;140
S0057;D20250415;1;V02;P001;C002;SH01;I03;2025-04-15 06:00;2025-04-15 06:04;2025-04-15 11:00;2025-04-15 12:17;Terlambat;150;355873;621298;77 menit;6 jam 13 menit;150
S0058;D20250429;1;V05;P004;C005;SH04;I02;2025-04-29 06:00;2025-04-29 06:15;2025-04-29 12:00;2025-04-29 12:17;Terlambat;231;163212;400679;17 menit;6 jam 2 menit;231
S0059;D20250411;5;V04;P002;C001;SH04;I03;2025-04-11 06:00;2025-04-11 06:02;2025-04-11 11:00;2025-04-11 11:05;Tepat Waktu;116;260269;587697;5 menit;5 jam 3 menit;116
S0060;D20250429;3;V04;P005;C001;SH04;I01;2025-04-29 06:00;2025-04-29 06:13;2025-04-29 12:00;2025-04-29 12:46;Terlambat;204;171559;435720;46 menit;6 jam 33 menit;204
S0061;D20250408;5;V05;P003;C002;SH01;I02;2025-04-08 06:00;2025-04-08 06:06;2025-04-08 09:00;2025-04-08 10:29;Terlambat;388;197820;425948;89 menit;4 jam 23 menit;388
S0062;D20250406;4;V05;P004;C002;SH02;I01;2025-04-06 06:00;2025-04-06 06:09;2025-04-06 09:00;2025-04-06 09:39;Terlambat;319;209766;570243;39 menit;3 jam 30 menit;319
S0063;D20250417;4;V04;P004;C005;SH01;I05;2025-04-17 06:00;2025-04-17 06:23;2025-04-17 10:00;2025-04-17 10:06;Tepat Waktu;181;241080;527399;6 menit;3 jam 43 menit;181
S0064;D20250422;5;V01;P004;C003;SH03;I05;2025-04-22 06:00;2025-04-22 06:11;2025-04-22 12:00;2025-04-22 11:57;Tepat Waktu;198;267917;486966;0 menit;5 jam 46 menit;198
S0065;D20250404;2;V05;P003;C003;SH04;I03;2025-04-04 06:00;2025-04-04 06:18;2025-04-04 09:00;2025-04-04 09:30;Terlambat;338;522361;642037;30 menit;3 jam 12 menit;338
S0066;D20250409;4;V02;P002;C004;SH01;I02;2025-04-09 06:00;2025-04-09 06:30;2025-04-09 11:00;2025-04-09 12:00;Terlambat;243;463570;820836;60 menit;5 jam 30 menit;243
S0067;D20250423;2;V03;P005;C004;SH03;I04;2025-04-23 06:00;2025-04-23 06:12;2025-04-23 12:00;2025-04-23 12:51;Terlambat;191;491952;876456;51 menit;6 jam 39 menit;191
S0068;D20250428;5;V05;P003;C003;SH01;I02;2025-04-28 06:00;2025-04-28 06:07;2025-04-28 10:00;2025-04-28 10:48;Terlambat;258;385207;542312;48 menit;4 jam 41 menit;258
S0069;D20250426;5;V01;P002;C005;SH04;I03;2025-04-26 06:00;2025-04-26 06:10;2025-04-26 09:00;2025-04-26 10:20;Terlambat;359;225082;527244;80 menit;4 jam 10 menit;359
S0070;D20250415;3;V02;P005;C003;SH03;I05;2025-04-15 06:00;2025-04-15 06:14;2025-04-15 09:00;2025-04-15 09:28;Terlambat;233;512035;669661;28 menit;3 jam 14 menit;233
S0071;D20250418;4;V03;P004;C001;SH03;I03;2025-04-18 06:00;2025-04-18 06:05;2025-04-18 12:00;2025-04-18 12:51;Terlambat;287;386077;754106;51 menit;6 jam 46 menit;287
S0072;D20250416;3;V04;P003;C005;SH02;I02;2025-04-16 06:00;2025-04-16 06:08;2025-04-16 09:00;2025-04-16 10:01;Terlambat;148;153401;394336;61 menit;3 jam 53 menit;148
S0073;D20250414;5;V05;P001;C005;SH02;I03;2025-04-14 06:00;2025-04-14 06:11;2025-04-14 12:00;2025-04-14 11:53;Tepat Waktu;330;581581;966156;0 menit;5 jam 42 menit;330
S0074;D20250404;1;V03;P005;C003;SH03;I01;2025-04-04 06:00;2025-04-04 06:13;2025-04-04 09:00;2025-04-04 08:53;Tepat Waktu;107;206740;389838;0 menit;2 jam 40 menit;107
S0075;D20250401;1;V04;P002;C001;SH04;I05;2025-04-01 06:00;2025-04-01 06:10;2025-04-01 11:00;2025-04-01 11:14;Tepat Waktu;286;361816;566679;14 menit;5 jam 4 menit;286
S0076;D20250425;1;V05;P004;C001;SH04;I04;2025-04-25 06:00;2025-04-25 06:19;2025-04-25 11:00;2025-04-25 11:20;Terlambat;105;251863;528892;20 menit;5 jam 1 menit;105
S0077;D20250422;1;V03;P002;C002;SH04;I05;2025-04-22 06:00;2025-04-22 06:06;2025-04-22 12:00;2025-04-22 11:56;Tepat Waktu;354;358600;754853;0 menit;5 jam 50 menit;354
S0078;D20250427;2;V03;P005;C005;SH03;I01;2025-04-27 06:00;2025-04-27 06:16;2025-04-27 10:00;2025-04-27 10:16;Terlambat;122;570132;717658;16 menit;4 jam 0 menit;122
S0079;D20250411;4;V04;P002;C002;SH01;I02;2025-04-11 06:00;2025-04-11 06:21;2025-04-11 10:00;2025-04-11 11:25;Terlambat;400;479651;864261;85 menit;5 jam 4 menit;400
S0080;D20250405;5;V03;P001;C002;SH01;I05;2025-04-05 06:00;2025-04-05 06:14;2025-04-05 10:00;2025-04-05 11:20;Terlambat;298;328976;705912;80 menit;5 jam 6 menit;298
S0081;D20250427;4;V04;P001;C003;SH01;I05;2025-04-27 06:00;2025-04-27 06:10;2025-04-27 10:00;2025-04-27 10:22;Terlambat;196;511088;908825;22 menit;4 jam 12 menit;196
S0082;D20250420;4;V01;P003;C001;SH01;I04;2025-04-20 06:00;2025-04-20 06:24;2025-04-20 12:00;2025-04-20 12:00;Tepat Waktu;394;373895;490630;0 menit;5 jam 36 menit;394
S0083;D20250405;1;V05;P004;C004;SH01;I03;2025-04-05 06:00;2025-04-05 06:13;2025-04-05 12:00;2025-04-05 13:15;Terlambat;279;168231;382494;75 menit;7 jam 2 menit;279
S0084;D20250409;2;V03;P004;C005;SH02;I01;2025-04-09 06:00;2025-04-09 06:11;2025-04-09 09:00;2025-04-09 09:27;Terlambat;214;592669;968232;27 menit;3 jam 16 menit;214
S0085;D20250408;5;V01;P005;C003;SH01;I01;2025-04-08 06:00;2025-04-08 06:21;2025-04-08 10:00;2025-04-08 09:47;Tepat Waktu;378;191938;422145;0 menit;3 jam 26 menit;378
S0086;D20250423;5;V04;P001;C001;SH02;I03;2025-04-23 06:00;2025-04-23 06:30;2025-04-23 09:00;2025-04-23 09:19;Terlambat;356;174817;523199;19 menit;2 jam 49 menit;356
S0087;D20250426;4;V01;P005;C005;SH04;I05;2025-04-26 06:00;2025-04-26 06:09;2025-04-26 12:00;2025-04-26 13:30;Terlambat;151;450803;605990;90 menit;7 jam 21 menit;151
S0088;D20250407;4;V04;P005;C002;SH03;I02;2025-04-07 06:00;2025-04-07 06:25;2025-04-07 11:00;2025-04-07 11:56;Terlambat;275;175919;283538;56 menit;5 jam 31 menit;275
S0089;D20250410;3;V03;P003;C005;SH02;I02;2025-04-10 06:00;2025-04-10 06:07;2025-04-10 11:00;2025-04-10 11:40;Terlambat;92;184656;413811;40 menit;5 jam 33 menit;92
S0090;D20250402;5;V03;P004;C003;SH02;I02;2025-04-02 06:00;2025-04-02 06:25;2025-04-02 11:00;2025-04-02 11:21;Terlambat;157;296510;534585;21 menit;4 jam 56 menit;157
S0091;D20250405;4;V03;P001;C005;SH03;I02;2025-04-05 06:00;2025-04-05 06:24;2025-04-05 09:00;2025-04-05 09:21;Terlambat;181;505215;865683;21 menit;2 jam 57 menit;181
S0092;D20250402;5;V04;P002;C002;SH04;I05;2025-04-02 06:00;2025-04-02 06:10;2025-04-02 10:00;2025-04-02 09:56;Tepat Waktu;114;578630;764728;0 menit;3 jam 46 menit;114
S0093;D20250426;1;V01;P002;C001;SH01;I01;2025-04-26 06:00;2025-04-26 06:04;2025-04-26 10:00;2025-04-26 10:39;Terlambat;223;319011;500335;39 menit;4 jam 35 menit;223
S0094;D20250416;5;V01;P002;C004;SH03;I01;2025-04-16 06:00;2025-04-16 06:07;2025-04-16 09:00;2025-04-16 10:03;Terlambat;398;306972;524034;63 menit;3 jam 56 menit;398
S0095;D20250427;1;V05;P005;C003;SH01;I03;2025-04-27 06:00;2025-04-27 06:02;2025-04-27 11:00;2025-04-27 11:06;Tepat Waktu;365;379014;617029;6 menit;5 jam 4 menit;365
S0096;D20250406;3;V03;P004;C002;SH03;I01;2025-04-06 06:00;2025-04-06 06:01;2025-04-06 11:00;2025-04-06 11:44;Terlambat;304;169568;446618;44 menit;5 jam 43 menit;304
S0097;D20250407;5;V02;P005;C001;SH01;I05;2025-04-07 06:00;2025-04-07 06:04;2025-04-07 09:00;2025-04-07 09:24;Terlambat;99;270771;395131;24 menit;3 jam 20 menit;99
S0098;D20250423;2;V05;P002;C005;SH04;I01;2025-04-23 06:00;2025-04-23 06:18;2025-04-23 12:00;2025-04-23 12:49;Terlambat;371;243801;536583;49 menit;6 jam 31 menit;371
S0099;D20250402;2;V02;P001;C005;SH04;I02;2025-04-02 06:00;2025-04-02 06:16;2025-04-02 11:00;2025-04-02 11:06;Tepat Waktu;124;586599;848163;6 menit;4 jam 50 menit;124
S0100;D20250407;1;V01;P001;C005;SH03;I03;2025-04-07 06:00;2025-04-07 06:11;2025-04-07 10:00;2025-04-07 10:51;Terlambat;324;418863;595468;51 menit;4 jam 40 menit;324
S0101;D20250425;1;V03;P005;C005;SH04;I05;2025-04-25 06:00;2025-04-25 06:24;2025-04-25 10:00;2025-04-25 10:52;Terlambat;311;422059;701506;52 menit;4 jam 28 menit;311
S0102;D20250416;4;V02;P004;C001;SH04;I02;2025-04-16 06:00;2025-04-16 06:23;2025-04-16 09:00;2025-04-16 09:56;Terlambat;273;222598;372060;56 menit;3 jam 33 menit;273
S0103;D20250418;4;V04;P004;C004;SH03;I01;2025-04-18 06:00;2025-04-18 06:24;2025-04-18 12:00;2025-04-18 12:21;Terlambat;241;481375;651597;21 menit;5 jam 57 menit;241
S0104;D20250417;5;V01;P004;C002;SH01;I04;2025-04-17 06:00;2025-04-17 06:04;2025-04-17 11:00;2025-04-17 12:15;Terlambat;138;223323;509522;75 menit;6 jam 11 menit;138
S0105;D20250402;5;V05;P004;C002;SH04;I04;2025-04-02 06:00;2025-04-02 06:05;2025-04-02 10:00;2025-04-02 10:18;Terlambat;396;477144;692604;18 menit;4 jam 13 menit;396
S0106;D20250427;3;V02;P004;C003;SH03;I01;2025-04-27 06:00;2025-04-27 06:21;2025-04-27 12:00;2025-04-27 12:15;Tepat Waktu;270;426598;574875;15 menit;5 jam 54 menit;270
S0107;D20250422;4;V01;P002;C002;SH01;I02;2025-04-22 06:00;2025-04-22 06:18;2025-04-22 12:00;2025-04-22 13:29;Terlambat;262;189275;500780;89 menit;7 jam 11 menit;262
S0108;D20250430;4;V03;P003;C001;SH04;I03;2025-04-30 06:00;2025-04-30 06:06;2025-04-30 10:00;2025-04-30 11:21;Terlambat;204;420360;580770;81 menit;5 jam 15 menit;204
S0109;D20250427;2;V01;P001;C001;SH04;I04;2025-04-27 06:00;2025-04-27 06:11;2025-04-27 11:00;2025-04-27 11:19;Terlambat;264;383027;726685;19 menit;5 jam 8 menit;264
S0110;D20250423;5;V05;P004;C003;SH02;I04;2025-04-23 06:00;2025-04-23 06:03;2025-04-23 10:00;2025-04-23 09:55;Tepat Waktu;190;421837;532095;0 menit;3 jam 52 menit;190
S0111;D20250417;3;V04;P002;C004;SH04;I01;2025-04-17 06:00;2025-04-17 06:16;2025-04-17 10:00;2025-04-17 10:13;Tepat Waktu;241;283508;413142;13 menit;3 jam 57 menit;241
S0112;D20250410;5;V01;P003;C002;SH01;I03;2025-04-10 06:00;2025-04-10 06:07;2025-04-10 11:00;2025-04-10 11:19;Terlambat;157;594116;883852;19 menit;5 jam 12 menit;157
S0113;D20250428;4;V01;P001;C005;SH01;I01;2025-04-28 06:00;2025-04-28 06:00;2025-04-28 11:00;2025-04-28 11:25;Terlambat;179;479181;707530;25 menit;5 jam 25 menit;179
S0114;D20250415;2;V03;P001;C005;SH03;I01;2025-04-15 06:00;2025-04-15 06:02;2025-04-15 09:00;2025-04-15 08:47;Tepat Waktu;157;590351;966450;0 menit;2 jam 45 menit;157
S0115;D20250407;1;V02;P005;C001;SH01;I01;2025-04-07 06:00;2025-04-07 06:16;2025-04-07 12:00;2025-04-07 13:16;Terlambat;207;237506;368549;76 menit;7 jam 0 menit;207
S0116;D20250410;4;V04;P001;C003;SH04;I01;2025-04-10 06:00;2025-04-10 06:19;2025-04-10 12:00;2025-04-10 13:15;Terlambat;140;477070;680343;75 menit;6 jam 56 menit;140
S0117;D20250412;5;V01;P002;C004;SH02;I04;2025-04-12 06:00;2025-04-12 06:26;2025-04-12 11:00;2025-04-12 11:27;Terlambat;192;555715;747572;27 menit;5 jam 1 menit;192
S0118;D20250428;5;V01;P005;C003;SH01;I03;2025-04-28 06:00;2025-04-28 06:07;2025-04-28 09:00;2025-04-28 09:27;Terlambat;192;274175;582002;27 menit;3 jam 20 menit;192
S0119;D20250413;4;V01;P003;C001;SH01;I01;2025-04-13 06:00;2025-04-13 06:14;2025-04-13 12:00;2025-04-13 12:18;Terlambat;304;220991;599128;18 menit;6 jam 4 menit;304
S0120;D20250425;1;V04;P005;C003;SH04;I04;2025-04-25 06:00;2025-04-25 06:11;2025-04-25 10:00;2025-04-25 10:58;Terlambat;241;329331;447382;58 menit;4 jam 47 menit;241
S0121;D20250412;2;V05;P005;C002;SH02;I05;2025-04-12 06:00;2025-04-12 06:14;2025-04-12 09:00;2025-04-12 10:25;Terlambat;138;438013;713000;85 menit;4 jam 11 menit;138
S0122;D20250429;2;V04;P001;C004;SH01;I04;2025-04-29 06:00;2025-04-29 06:25;2025-04-29 12:00;2025-04-29 12:06;Tepat Waktu;288;480032;700809;6 menit;5 jam 41 menit;288
S0123;D20250405;3;V05;P001;C005;SH03;I02;2025-04-05 06:00;2025-04-05 06:24;2025-04-05 09:00;2025-04-05 09:40;Terlambat;156;355469;592681;40 menit;3 jam 16 menit;156
S0124;D20250424;5;V02;P005;C004;SH03;I04;2025-04-24 06:00;2025-04-24 06:13;2025-04-24 10:00;2025-04-24 10:04;Tepat Waktu;245;485729;818025;4 menit;3 jam 51 menit;245
S0125;D20250401;1;V01;P004;C003;SH03;I03;2025-04-01 06:00;2025-04-01 06:07;2025-04-01 10:00;2025-04-01 10:25;Terlambat;334;176829;352066;25 menit;4 jam 18 menit;334
S0126;D20250427;5;V05;P001;C002;SH04;I05;2025-04-27 06:00;2025-04-27 06:13;2025-04-27 10:00;2025-04-27 10:32;Terlambat;103;182577;345595;32 menit;4 jam 19 menit;103
S0127;D20250409;4;V01;P001;C005;SH01;I05;2025-04-09 06:00;2025-04-09 06:10;2025-04-09 09:00;2025-04-09 09:41;Terlambat;200;171014;386881;41 menit;3 jam 31 menit;200
S0128;D20250401;5;V03;P003;C002;SH01;I03;2025-04-01 06:00;2025-04-01 06:01;2025-04-01 11:00;2025-04-01 10:49;Tepat Waktu;151;410031;667391;0 menit;4 jam 48 menit;151
S0129;D20250416;5;V05;P005;C004;SH01;I04;2025-04-16 06:00;2025-04-16 06:22;2025-04-16 11:00;2025-04-16 11:38;Terlambat;389;355212;734450;38 menit;5 jam 16 menit;389
S0130;D20250405;4;V05;P003;C004;SH04;I04;2025-04-05 06:00;2025-04-05 06:12;2025-04-05 12:00;2025-04-05 13:03;Terlambat;197;447108;649060;63 menit;6 jam 51 menit;197
S0131;D20250419;3;V03;P005;C005;SH01;I03;2025-04-19 06:00;2025-04-19 06:09;2025-04-19 10:00;2025-04-19 10:16;Terlambat;246;595162;719106;16 menit;4 jam 7 menit;246
S0132;D20250401;3;V03;P001;C004;SH01;I04;2025-04-01 06:00;2025-04-01 06:25;2025-04-01 10:00;2025-04-01 10:58;Terlambat;117;308923;508354;58 menit;4 jam 33 menit;117
S0133;D20250410;2;V05;P002;C003;SH04;I01;2025-04-10 06:00;2025-04-10 06:11;2025-04-10 10:00;2025-04-10 10:08;Tepat Waktu;232;192351;533777;8 menit;3 jam 57 menit;232
